PROVINCIA,PARTIDO,LOCALIDAD,POBLACION,M_ADSL,M_CABLEMODEM,M_DIAL_UP,M_FIBRA_OPTICA,M_SATELITAL,M_WIRELESS,M_TELEFONIA_FIJA,M_3G,M_4G,LATITUD,LONGITUD,DISTANCIA
MENDOZA,LUJÁN DE CUYO,VILLA EL REFUGIO,0,False,False,False,False,False,False,False,False,False,-32.9975296309707,-69.317680250878,1021.46
MENDOZA,LUJÁN DE CUYO,VISTALBA,0,False,False,False,True,False,True,False,True,True,-33.0237918976098,-68.9247432402669,985.1
MENDOZA,MAIPÚ,BARRANCAS,194,False,False,False,False,False,True,True,True,True,-33.0833355400244,-68.7343792557021,966.33
MENDOZA,MAIPÚ,BARRIO JESÚS DE NAZARET,399,False,False,False,False,False,True,False,False,False,-33.0103244179699,-68.7265920537237,967.44
CABA,COMUNA 10,VELEZ SARSFIELD,35081,True,True,True,True,True,True,True,True,True,-34.6313610222,-58.493276996941,9.1
CORDOBA,SAN JUSTO,PORTEÑA,5337,True,False,False,True,False,True,True,True,True,-31.0139211475279,-62.0633288002735,521.92
CORDOBA,SAN JUSTO,QUEBRACHO HERRADO,364,False,False,False,False,False,True,True,False,False,-31.5496022220548,-62.2257312576183,488.47
CORDOBA,SAN JUSTO,SACANTA,3117,False,True,False,True,True,True,True,True,True,-31.6633035739729,-63.0453212093259,538.47
CORDOBA,SAN JUSTO,SAN FRANCISCO,61750,True,True,False,True,False,True,True,True,True,-31.4276088869788,-62.0866336146078,488.93
CORDOBA,SAN JUSTO,SATURNINO MARÍA LASPIUR,2496,False,True,False,False,True,True,True,True,True,-31.7029319509565,-62.4840180855351,494.79
CORDOBA,SAN JUSTO,SEEBER,582,True,False,False,False,False,False,False,False,True,-30.9239726451413,-61.9737374276269,524.31
CORDOBA,SAN JUSTO,TORO PUJIO,173,True,False,False,False,False,False,True,False,False,-31.1090401829574,-62.9876506224993,574.59
CORDOBA,SAN JUSTO,TRÁNSITO,2886,True,False,False,False,False,True,True,True,True,-31.4251109532295,-63.1954038579264,566.16
CORDOBA,SAN JUSTO,TRINCHERA,0,False,False,False,False,False,False,False,False,False,-31.9472621856778,-62.8197328817386,502.35
CORDOBA,SAN JUSTO,VILLA CONCEPCIÓN DEL TÍO,1848,False,True,False,False,False,True,True,True,True,-31.3224689015774,-62.8144745758859,546.36
CORDOBA,SAN JUSTO,VILLA DEL TRÁNSITO,227,False,False,False,False,False,True,False,False,False,-31.4474037687006,-63.1940139744669,564.48
CORDOBA,SAN JUSTO,VILLA SAN ESTEBAN,82,False,False,False,False,False,True,False,False,False,-31.6335474004986,-62.896766816574,529.58
CORDOBA,SANTA MARÍA,ALTA GRACIA,48140,True,True,False,True,False,True,True,True,True,-31.6576798267691,-64.4288214061936,646.37
CORDOBA,SANTA MARÍA,ANISACATE,2991,True,False,False,False,False,True,True,False,False,-31.7231378713901,-64.4144863418681,641.41
CORDOBA,SANTA MARÍA,BARRIO GILBERT,1277,False,False,False,False,False,False,False,False,False,-31.4426508165936,-64.3178623084579,650.49
CORDOBA,SANTA MARÍA,BARRIO LAS QUINTAS,0,False,False,False,False,False,False,False,True,False,-31.5502925188794,-64.4334256167366,653.09
CORDOBA,SANTA MARÍA,BARRIO VILLA DEL PARQUE,0,False,False,False,False,False,False,False,False,False,-31.7772193262534,-64.532077974826,647.89
CORDOBA,SANTA MARÍA,BOUWER,841,False,False,False,False,False,False,True,True,True,-31.557666956067,-64.194465844878,633.67
CORDOBA,SANTA MARÍA,CAMPOS DEL VIRREY,188,False,False,False,True,False,False,False,False,False,-31.5854354142154,-64.3439770074277,643.85
CORDOBA,SANTA MARÍA,CASEROS CENTRO,243,False,False,False,False,False,False,False,False,True,-31.5292561486201,-64.1688666057858,633.4
CORDOBA,SANTA MARÍA,CAUSANA,55,False,False,False,False,False,False,False,False,False,-31.4637911559576,-64.4124514041777,656.66
CORDOBA,SANTA MARÍA,COSTA AZUL,201,False,False,False,False,False,False,False,True,True,-31.7247289371172,-64.3939272186065,639.66
BUENOS AIRES,GENERAL SAN MARTÍN,VILLA MAIPU,25120,False,True,False,True,False,True,True,True,True,-34.5682131696117,-58.5245451491949,9.37
BUENOS AIRES,GENERAL SAN MARTÍN,VILLA MARQUÉS ALEJANDRO MARÍA DE AGUADO,13440,False,True,False,True,False,False,False,True,True,-34.5551356608044,-58.5383771255925,10.82
BUENOS AIRES,GENERAL SAN MARTÍN,VILLA PARQUE PRES FIGUEROA ALCORTA,3762,False,True,False,True,False,False,False,True,True,-34.5939487574993,-58.5321739553925,10.29
